"x";"y";"vx";"vy";"t"
-3.98366666666667;49.6023333333333;-10.1145743117766;-6.07744938217436;0
-3.99566666666667;49.598;-10.0917720207568;-6.30603904222698;143
-4.00166666666667;49.5958333333333;-10.0069676963982;-6.2530474190259;240
-4.02083333333333;49.5886666666667;-10.2002905513718;-6.12895289495822;493
-5.30366666666667;49.0968333333333;-10.6489765757569;-7.4564936725636;16355
-5.32583333333333;49.0885;-10.4363189188213;-7.58242953035063;16610
-5.3455;49.081;-10.5172209268743;-7.64120827980215;16879
-5.44416666666667;49.0438333333333;-9.98294387559116;-7.5226877894006;18116
-5.45066666666667;49.0411666666667;-10.0865377964672;-7.88046700159653;18202
-5.46583333333333;49.035;-10.3023977749548;-7.76341356908721;18407
-5.48483333333333;49.0273333333333;-10.222534680933;-7.70323241113332;18691
-5.54283333333333;49.0036666666667;-8.99205267176372;-8.09648059219526;19450
-5.5525;48.9988333333333;-8.84787968136858;-8.54429808914124;19613
-5.57933333333333;48.9855;-9.06878562108841;-8.45677940461326;19992
-5.61433333333333;48.9678333333333;-8.77624441943004;-8.18398032074999;20511
-5.62616666666667;48.9616666666667;-8.70401185850403;-8.40536654754501;20693
-5.63566666666667;48.957;-8.70401185850403;-8.40536654754501;20803
-5.64583333333333;48.9518333333333;-8.63207760406381;-8.33590044550797;20976
-5.65433333333333;48.9475;-8.27240770389449;-7.98857126027847;21091
-5.66366666666667;48.9428333333333;-7.84888554091051;-7.84888554091051;21236
-5.6825;48.933;-8.20047344945426;-7.91910515824143;21545
-5.70766666666667;48.9203333333333;-8.27314920501269;-8.27314920501269;21913
-5.75633333333333;48.8936666666667;-6.0454934964301;-9.30924362412164;22733
-5.765;48.8863333333333;-4.82226550667032;-7.71723799852815;22908
-5.77183333333333;48.8803333333333;-5.88210403513673;-9.413334190841;23041
-5.78666666666667;48.8671666666667;-5.88210403513673;-9.413334190841;23351
-5.80333333333333;48.8526666666667;-6.15442119955146;-9.47697757774701;23713
-5.809;48.8476666666667;-5.88210168204394;-9.0576422937743;23820
-5.8165;48.8413333333333;-5.9910293851653;-9.22537624739966;24018
-5.822;48.8363333333333;-5.82911190656525;-9.32852905772069;24108
-5.8285;48.8306666666667;-5.88210403513673;-9.413334190841;24243
-5.83933333333333;48.8208333333333;-5.88210168204394;-9.0576422937743;24480
-5.84466666666667;48.816;-5.88210168204394;-9.0576422937743;24596
-5.853;48.8085;-6.0454934964301;-9.30924362412164;24773
-5.85966666666667;48.8023333333333;-6.15112193817821;-9.11941329810546;24963
-5.869;48.7938333333333;-5.5624113072643;-9.2574070110745;25143
-5.876;48.7873333333333;-5.6654188240106;-9.42884030772324;25314
-5.88183333333333;48.7815;-5.33290582270971;-9.62081677853335;25434
-5.88666666666667;48.7765;-5.34999990463257;-9.26647165531226;25554
-5.89216666666667;48.7705;-5.34999990463257;-9.26647165531226;25695
-5.90433333333333;48.7578333333333;-5.28442467574488;-9.53335447417847;25989
-5.90916666666667;48.7528333333333;-5.34999990463257;-9.26647165531226;26111
-5.941;48.7195;-5.18746284416571;-9.35843069957107;26952
-5.947;48.7126666666667;-5.09050101258654;-9.18350692496366;27061
-5.952;48.7071666666667;-5.18746284416571;-9.35843069957107;27203
-5.95683333333333;48.7016666666667;-5.04201986562171;-9.09604462060878;27343
-5.96166666666667;48.6961666666667;-4.92945140925185;-9.27094972501873;27455
-5.9675;48.6893333333333;-5.09050101258654;-9.18350692496366;27620
-5.97416666666667;48.6818333333333;-5.07029296763222;-9.5358341712853;27794
-5.98216666666667;48.6728333333333;-4.97639874461963;-9.3592448211224;28002
-5.98716666666667;48.667;-5.09050101258654;-9.18350692496366;28156
-5.99183333333333;48.6616666666667;-4.97639874461963;-9.3592448211224;28271
-5.99783333333333;48.6548333333333;-5.07029296763222;-9.5358341712853;28445
-6.00566666666667;48.6456666666667;-4.99353918100737;-9.00858315035625;28649
-6.03166666666667;48.6155;-4.67610223390914;-9.1773673690862;29390
-6.04266666666667;48.6023333333333;-5.13898215955136;-9.27096922931854;29673
-6.072;48.5665;-5.28442467574488;-9.53335447417847;30500
-6.089;48.5453333333333;-5.23594399113054;-9.44589300392595;30993
-6.09716666666667;48.5353333333333;-5.13898215955136;-9.27096922931854;31232
-6.10233333333333;48.5291666666667;-4.83555718623927;-9.09436037485584;31371
-6.108;48.5221666666667;-5.21113452601258;-9.80071861755187;31528
