0	1	2	3
0.0	0.0	-5.5845	48.1906666666667
1.0	0.0	-5.59233333333333	48.195833333333304
2.0	0.0	-5.60416666666667	48.2036666666667
3.0	0.0	-5.611833333333331	48.2086666666667
4.0	0.0	-5.62133333333333	48.2146666666667
5.0	0.0	-5.63383333333333	48.2226666666667
6.0	0.0	-5.64133333333333	48.2275
7.0	0.0	-5.6495	48.2325
8.0	0.0	-5.6583333333333306	48.2378333333333
9.0	0.0	-5.66733333333333	48.2435
10.0	0.0	-5.67483333333333	48.247833333333304
11.0	0.0	-5.6835	48.2535
12.0	0.0	-5.69066666666667	48.2578333333333
13.0	0.0	-5.6985	48.2625
14.0	0.0	-5.70666666666667	48.2676666666667
15.0	0.0	-5.71333333333333	48.2723333333333
16.0	0.0	-5.727	48.2813333333333
17.0	0.0	-5.73816666666667	48.2888333333333
18.0	0.0	-5.74816666666667	48.2958333333333
19.0	0.0	-5.7555	48.301
20.0	1.0	-5.580185	48.8124116666667
21.0	1.0	-5.57849333333333	48.81303
22.0	1.0	-5.57772666666667	48.8133083333333
23.0	1.0	-5.5768783333333305	48.8136166666667
24.0	1.0	-5.575165	48.8142183333333
25.0	1.0	-5.57430166666667	48.8145166666667
26.0	1.0	-5.57246333333333	48.81514
27.0	1.0	-5.57075166666667	48.8157466666667
28.0	1.0	-5.57024	48.81593
29.0	1.0	-5.5699	48.8160533333333
30.0	1.0	-5.56878	48.8164416666667
31.0	1.0	-5.56775	48.8168066666667
32.0	1.0	-5.5699	48.8160533333333
33.0	1.0	-5.5646949999999995	48.817935
34.0	1.0	-5.56358666666667	48.8183383333333
35.0	1.0	-5.56308833333333	48.818536666666695
36.0	1.0	-5.56207666666667	48.8189216666667
37.0	1.0	-5.56055333333333	48.819485
38.0	1.0	-5.56004	48.819668333333304
39.0	1.0	-5.55908666666667	48.82
40.0	2.0	-6.77140833333333	47.724565000000005
41.0	2.0	-6.77185333333333	47.7241016666667
42.0	2.0	-6.77198833333333	47.7239466666667
43.0	2.0	-6.77225833333333	47.7236683333333
44.0	2.0	-6.77253166666667	47.7234033333333
45.0	2.0	-6.77358	47.722265
46.0	2.0	-6.77391666666667	47.7219116666667
47.0	2.0	-6.77416666666667	47.7216533333333
48.0	2.0	-6.77485333333333	47.7209966666667
49.0	2.0	-6.77501333333333	47.7208516666667
50.0	2.0	-6.775065	47.7207716666667
51.0	2.0	-6.77485333333333	47.7209966666667
52.0	2.0	-6.776055	47.719751666666696
53.0	2.0	-6.77632833333333	47.71947
54.0	2.0	-6.77643166666667	47.719313333333304
55.0	2.0	-6.7767716666666695	47.7188666666667
56.0	2.0	-6.77690666666667	47.7186933333333
57.0	2.0	-6.77712833333333	47.7183883333333
58.0	2.0	-6.77728666666667	47.718140000000005
59.0	2.0	-6.7775300000000005	47.7178166666667
60.0	3.0	-5.32543666666667	48.876999999999995
61.0	3.0	-5.32139833333333	48.87849
62.0	3.0	-5.32059166666667	48.87879
63.0	3.0	-5.31999333333333	48.8790116666667
64.0	3.0	-5.3193233333333305	48.879258333333304
65.0	3.0	-5.31665333333333	48.8802333333333
66.0	3.0	-5.31392333333333	48.8812216666667
67.0	3.0	-5.3106349999999996	48.882426666666696
68.0	3.0	-5.30989666666667	48.8827
69.0	3.0	-5.30861833333333	48.8831683333333
70.0	3.0	-5.30726666666667	48.8836633333333
71.0	3.0	-5.30598333333333	48.8841333333333
72.0	3.0	-5.30726666666667	48.8836633333333
73.0	3.0	-5.30462666666667	48.884633333333305
74.0	3.0	-5.30388333333333	48.8849066666667
75.0	3.0	-5.3005783333333305	48.886105
76.0	3.0	-5.29916	48.88661
77.0	3.0	-5.298430000000001	48.8868866666667
78.0	3.0	-5.297255000000001	48.887365
79.0	3.0	-5.29660166666667	48.887633333333305
80.0	4.0	-5.52616666666667	48.2545
81.0	4.0	-5.53566666666667	48.2631666666667
82.0	4.0	-5.54383333333333	48.2705
83.0	4.0	-5.5535	48.2791666666667
84.0	4.0	-5.56183333333333	48.287
85.0	4.0	-5.57016666666667	48.2943333333333
86.0	4.0	-5.57933333333333	48.302666666666696
87.0	4.0	-5.5878333333333305	48.3106666666667
88.0	4.0	-5.5965	48.3186666666667
89.0	4.0	-5.60533333333333	48.326833333333305
90.0	4.0	-5.61366666666667	48.3346666666667
91.0	4.0	-5.622166666666669	48.3425
92.0	4.0	-5.6305	48.3503333333333
93.0	4.0	-5.63883333333333	48.3578333333333
94.0	4.0	-5.64816666666667	48.3665
95.0	4.0	-5.65616666666667	48.374166666666696
96.0	4.0	-5.6645	48.382
97.0	4.0	-5.67266666666667	48.3898333333333
98.0	4.0	-5.68116666666667	48.3978333333333
99.0	4.0	-5.68933333333333	48.4056666666667
100.0	5.0	-5.09449333333333	48.71419
101.0	5.0	-5.10527333333333	48.707995000000004
102.0	5.0	-5.115995	48.7018833333333
103.0	5.0	-5.12652333333333	48.6958883333333
104.0	5.0	-5.13733333333333	48.689821666666695
105.0	5.0	-5.14733333333333	48.6842316666667
106.0	5.0	-5.15708166666667	48.678786666666696
107.0	5.0	-5.167751666666669	48.672815
108.0	5.0	-5.177095	48.6664266666667
109.0	5.0	-5.186065	48.660245
110.0	5.0	-5.1948466666666695	48.6541716666667
111.0	5.0	-5.20368	48.648108333333305
112.0	5.0	-5.21304166666667	48.6416616666667
113.0	5.0	-5.222045	48.635484999999996
114.0	5.0	-5.23072666666667	48.6295766666667
115.0	5.0	-5.23986333333333	48.6232783333333
116.0	5.0	-5.24823333333333	48.61752
117.0	5.0	-5.2571533333333305	48.6114216666667
118.0	5.0	-5.26741666666667	48.6044083333333
119.0	5.0	-5.277505000000001	48.5975083333333
120.0	6.0	-5.7658333333333305	48.3083333333333
121.0	6.0	-5.77316666666667	48.3135
122.0	6.0	-5.7818333333333305	48.3196666666667
123.0	6.0	-5.791333333333331	48.3261666666667
124.0	6.0	-5.8843333333333305	48.4421666666667
125.0	6.0	-5.87933333333333	48.4491666666667
126.0	6.0	-5.87433333333333	48.4558333333333
127.0	6.0	-5.8683333333333305	48.464
128.0	6.0	-5.86233333333333	48.4723333333333
129.0	6.0	-5.85733333333333	48.479
130.0	6.0	-5.8511666666666695	48.487166666666695
131.0	6.0	-5.84566666666667	48.494666666666696
132.0	6.0	-5.84066666666667	48.5015
133.0	6.0	-5.83433333333333	48.51
134.0	6.0	-5.82883333333333	48.516999999999996
135.0	6.0	-5.82366666666667	48.5236666666667
136.0	6.0	-5.81816666666667	48.531000000000006
137.0	6.0	-5.81283333333333	48.537666666666695
138.0	6.0	-5.80666666666667	48.5456666666667
139.0	6.0	-5.80116666666667	48.552833333333304
140.0	7.0	-5.60638333333333	48.2999666666667
141.0	7.0	-5.60111666666667	48.2941333333333
142.0	7.0	-5.59631666666667	48.2891166666667
