"x";"y";"vx";"vy";"t"
-5.16980333333333;49.16746;-7.11448875931922;-4.27481611998917;0
-5.19237833333333;49.159575;-7.28592205596795;-4.37782363673546;423
-5.29994833333333;49.116825;-7.29321395044994;-4.55730587455372;2496
-5.30889666666667;49.1129133333333;-7.29321395044994;-4.55730587455372;2675
-5.3094;49.1127;-7.1286998275361;-4.62943179762773;2685
-5.36452333333333;49.0899883333333;-7.21256720425808;-4.68389590889254;3763
-5.37968;49.0841083333333;-7.1286998275361;-4.62943179762773;4054
-5.38013833333333;49.0839316666667;-7.20840881732962;-4.50431374598224;4065
-5.38115833333333;49.0835316666667;-7.1236036842093;-4.45132161741077;4083
-5.381715;49.083315;-7.04483245081413;-4.57496768636292;4095
-5.38221833333333;49.0831166666667;-6.96096587391074;-4.52050409450638;4104
-5.38317666666667;49.082745;-7.03879935985067;-4.39832999420968;4123
-5.38373666666667;49.0825283333333;-7.04483245081413;-4.57496768636292;4135
-5.38886;49.080535;-7.20840881732962;-4.50431374598224;4234
-5.38928166666667;49.0803816666667;-7.21256720425808;-4.68389590889254;4245
-5.38991166666667;49.08014;-7.29321395044994;-4.55730587455372;4255
-5.39561666666667;49.0779533333333;-7.37801827480857;-4.61029749775481;4363
-5.396785;49.077495;-7.46282340792889;-4.66328962632628;4384
-5.39879166666667;49.07672;-7.45735535261669;-4.48083115348176;4425
-5.40825333333333;49.0730633333333;-7.45735535261669;-4.48083115348176;4604
-5.419585;49.0687416666667;-7.54307240967027;-4.5323351574442;4815
-5.42017833333333;49.068515;-7.54307240967027;-4.5323351574442;4830
-5.42072333333333;49.06831;-7.62878864926542;-4.58383867022805;4839
-5.42127333333333;49.06811;-7.62878864926542;-4.58383867022805;4847
-5.422865;49.0675266666667;-7.54762773228752;-4.71628124952737;4873
-5.423465;49.0673;-7.54762773228752;-4.71628124952737;4888
-5.4284;49.065445;-7.71450570631901;-4.63534267419049;4979
-5.43221833333333;49.0640016666667;-7.54762773228752;-4.71628124952737;5044
-5.43330666666667;49.0636016666667;-7.62878864926542;-4.58383867022805;5069
-5.435485;49.0627966666667;-7.62878864926542;-4.58383867022805;5109
-5.44038666666667;49.0609516666667;-7.71450570631901;-4.63534267419049;5199
-5.44143166666667;49.06056;-7.71450570631901;-4.63534267419049;5215
-5.44203666666667;49.060335;-7.63243286540783;-4.76927337809884;5224
-5.44311333333333;49.059925;-7.62878864926542;-4.58383867022805;5247
-5.44576666666667;49.0589233333333;-7.62878864926542;-4.58383867022805;5295
-5.44630333333333;49.0587183333333;-7.62878864926542;-4.58383867022805;5303
-5.447395;49.0583216666667;-7.54762773228752;-4.71628124952737;5329
-5.44793666666667;49.0581216666667;-7.46282340792889;-4.66328962632628;5336
-5.44852666666667;49.057895;-7.46282340792889;-4.66328962632628;5347
-5.451755;49.0566433333333;-7.46282340792889;-4.66328962632628;5408
-5.45599833333333;49.0550316666667;-7.46282340792889;-4.66328962632628;5484
-5.45765333333333;49.0543883333333;-7.54307240967027;-4.5323351574442;5519
-5.45978666666667;49.05357;-7.62102371848429;-4.40000009536744;5555
-5.46032833333333;49.0533716666667;-7.54307240967027;-4.5323351574442;5566
-5.46087333333333;49.05317;-7.70762576331903;-4.44999980926514;5573
-5.46781833333333;49.0504966666667;-7.62102371848429;-4.40000009536744;5704
-5.46835833333333;49.0502983333333;-7.54307240967027;-4.5323351574442;5714
-5.46943666666667;49.0498983333333;-7.54307240967027;-4.5323351574442;5737
-5.47155666666667;49.049065;-7.54307240967027;-4.5323351574442;5775
-5.47262166666667;49.048655;-7.37801827480857;-4.61029749775481;5794
-5.47576833333333;49.0473833333333;-7.76993898556745;-4.13134984206043;5854
-5.47796;49.0466216666667;-7.76993898556745;-4.13134984206043;5896
-5.4785;49.04643;-7.75175659049279;-3.94971726114224;5905
-5.49106;49.0419833333333;-7.54307240967027;-4.5323351574442;6133
-5.49163333333333;49.0417416666667;-7.62102371848429;-4.40000009536744;6145
-5.49215833333333;49.041525;-7.62102371848429;-4.40000009536744;6160
-5.49423166666667;49.04068;-7.70762576331903;-4.44999980926514;6194
-5.50499;49.0362383333333;-7.79422863405995;-4.5;6395
-5.50717833333333;49.0353016666667;-7.88083150480086;-4.55000019073487;6439
-5.513025;49.0328883333333;-7.79422863405995;-4.5;6545
-5.51361833333333;49.0326483333333;-7.79422863405995;-4.5;6557
-5.51515333333333;49.03198;-8.0891464166925;-3.9453403211017;6583
-5.51683833333333;49.0313266666667;-8.13055422452921;-3.6199559682169;6617
-5.51848166666667;49.03075;-7.90938777886403;-3.85766617535654;6644
-5.51901666666667;49.0305483333333;-7.97550869878701;-3.7190407839262;6656
-5.52008;49.0301616666667;-7.81950803137139;-3.81382889345232;6674
-5.520565;49.0299883333333;-7.88487757435436;-3.67677879653605;6685
-5.52115833333333;49.02978;-7.81950803137139;-3.81382889345232;6695
-5.52223166666667;49.0293883333333;-7.88487757435436;-3.67677879653605;6716
-5.52552333333333;49.0282066666667;-8.15677008332985;-3.8035643556663;6778
-5.527145;49.02764;-8.0891464166925;-3.9453403211017;6807
-5.52885333333333;49.0270216666667;-8.0891464166925;-3.9453403211017;6839
-5.53439833333333;49.025045;-8.17902616418514;-3.98917760300593;6936
-5.53502;49.024825;-8.26890505452097;-4.03301446684685;6948
-5.535585;49.0246216666667;-8.33803146787269;-3.8880879274064;6957
-5.536675;49.0242433333333;-8.33803146787269;-3.8880879274064;6976
-5.53782833333333;49.0238516666667;-8.33803146787269;-3.8880879274064;6996
-5.54249166666667;49.02225;-8.35878480201361;-4.07685174875108;7079
-5.54307;49.0220516666667;-8.42866259230533;-3.93034991479655;7084
-5.543705;49.021835;-8.42866259230533;-3.93034991479655;7096
-5.544225;49.0216566666667;-8.42866259230533;-3.93034991479655;7105
-5.545385;49.021255;-8.44866369234945;-4.12068861259201;7124
-5.54590666666667;49.02107;-8.42866259230533;-3.93034991479655;7134
-5.54821833333333;49.0202683333333;-8.35878480201361;-4.07685174875108;7174
-5.54886;49.020045;-8.51929285241552;-3.97261149914651;7184
-5.54938833333333;49.0198666666667;-8.51929285241552;-3.97261149914651;7193
-5.556415;49.0174366666667;-8.60992397684817;-4.01487348653665;7312
-5.55764666666667;49.0170033333333;-8.46456197978949;-4.3129097475257;7339
-5.55875666666667;49.01661;-8.38800213215981;-4.45997984646596;7353
-5.55939;49.0163733333333;-8.29970703605614;-4.41303251109818;7364
