"x";"y";"vx";"vy";"t"
-5.02183333333333;49.1766666666667;-14.8335188863944;-7.88712189662459;0
-5.0365;49.171;-14.8798096337298;-7.5816416920177;123
-5.067;49.1595;-14.290824993294;-6.97010106672101;455
-5.30383333333333;49.0716666666667;-15.5491363152501;-7.5838205050004;2733
-5.31666666666667;49.0668333333333;-15.4592582820711;-7.53998405922278;2840
-5.34783333333333;49.0553333333333;-15.0580099188914;-7.67243927241471;3142
-5.3665;49.0485;-15.4144121886747;-7.8540352991269;3312
-5.38083333333333;49.0431666666667;-14.9689089265805;-7.62704004925712;3462
-5.43316666666667;49.0241666666667;-15.1471109112023;-7.7178384955723;3954
-5.4465;49.0193333333333;-15.0580099188914;-7.67243927241471;4101
-5.46083333333333;49.0141666666667;-15.325312895824;-7.80863694188747;4225
-5.47683333333333;49.0085;-15.0580099188914;-7.67243927241471;4362
-5.50433333333333;48.9985;-14.9689089265805;-7.62704004925712;4676
-5.5175;48.9938333333333;-15.5035131809856;-7.89943452228448;4754
-5.53366666666667;48.988;-15.325312895824;-7.80863694188747;4916
-5.54666666666667;48.9831666666667;-14.9689089265805;-7.62704004925712;5042
-5.57566666666667;48.9726666666667;-15.325312895824;-7.80863694188747;5313
-5.607;48.9613333333333;-15.2362119035131;-7.76323771872988;5600
-5.62516666666667;48.9546666666667;-14.9689089265805;-7.62704004925712;5804
-5.70066666666667;48.9258333333333;-14.5492261228536;-8.39999961853028;6532
-5.715;48.9198333333333;-14.314694575692;-8.60113624394078;6650
-5.74066666666667;48.9091666666667;-14.5718441119359;-8.75564727347093;6914
-5.75316666666667;48.904;-14.0896649016283;-9.14993537272585;7055
-5.84533333333333;48.8331666666667;-6.09225514227011;-15.8708672504524;8277
-5.85183333333333;48.8211666666667;-5.78014029173347;-15.8808049328176;8466
-5.86133333333333;48.8033333333333;-5.78014029173347;-15.8808049328176;8684
-5.8725;48.7828333333333;-5.88274672614216;-16.1627137944462;8997
-5.8795;48.7698333333333;-5.81434243653637;-15.9747745533604;9148
-5.8845;48.7605;-5.59977250505189;-16.2629202216817;9268
-5.902;48.7288333333333;-6.3683120880705;-15.7621255276354;9703
-5.9095;48.7178333333333;-7.0999864748116;-15.2259701307578;9859
-5.91766666666667;48.7071666666667;-7.98101656736014;-15.0101090786018;9987
-5.92733333333333;48.6951666666667;-7.98101656736014;-15.0101090786018;10171
-5.948;48.669;-7.88712189662459;-14.8335188863944;10541
-5.95566666666667;48.6593333333333;-7.93406923199237;-14.9218139824981;10729
-5.96316666666667;48.6506666666667;-8.75564727347092;-14.5718441119359;10823
