"x";"y";"vx";"vy";"t"
-5.16061833333333;49.1552966666667;-11.0211701909803;-8.30504743428537;0
-5.16511333333333;49.1536333333333;-10.9533491745312;-8.55769427217043;50
-5.17452666666667;49.1498483333333;-11.0211701909803;-8.30504743428537;166
-5.17553;49.149465;-11.0211701909803;-8.30504743428537;179
-5.17452666666667;49.1498483333333;-11.0211701909803;-8.30504743428537;225
-5.19965;49.1397183333333;-10.7169465496537;-8.37299629928516;471
-5.20070666666667;49.13928;-10.795747174111;-8.43456209453341;486
-5.20519;49.1375216666667;-10.6468995237317;-8.62168923734943;539
-5.20659333333333;49.1369683333333;-10.6468995237317;-8.62168923734943;556
-5.20862333333333;49.1361333333333;-10.4948087246186;-8.80619013010358;579
-5.21333833333333;49.1340783333333;-10.7169465496537;-8.37299629928516;641
-5.224175;49.1297533333333;-10.1885793330074;-8.85679689137185;775
-5.22615;49.1288933333333;-10.4914704796691;-8.4958252791728;796
-5.23542333333333;49.1253783333333;-10.6381451736907;-8.31142991689638;911
-5.24079333333333;49.1232183333333;-10.5593437977278;-8.2498635345076;976
-5.556275;49.0037083333333;-9.58362612056751;-7.22178027782458;4991
-5.55693;49.0034533333333;-9.70820393249937;-7.05342302750968;5002
-5.568635;48.999065;-9.37732766731775;-7.32637132151912;5164
-5.57907833333333;48.9952066666667;-9.2480366448803;-7.48891241342638;5306
-5.58193;48.9940716666667;-9.29852704286044;-7.26480552627087;5342
-5.584195;48.9932266666667;-9.62730192444638;-6.99464427805815;5371
-5.59989333333333;48.9872716666667;-9.09260760081773;-7.36304845524976;5592
-5.61057833333333;48.9831316666667;-9.21972566689753;-7.20323914388209;5743
-5.611235;48.98288;-9.21972566689753;-7.20323914388209;5752
-5.612;48.982575;-9.01489344935852;-7.30011677624479;5763
-5.61479333333333;48.9814116666667;-9.14092504244022;-7.14167334863385;5806
-5.62390333333333;48.9779633333333;-9.01489344935852;-7.30011677624479;5931
-5.8862;48.7889266666667;-4.10804025022329;-9.22680947068021;11274
-5.88882;48.7855233333333;-3.61951642711406;-9.42916266375441;11352
-5.891065;48.78211;-3.61951642711406;-9.42916266375441;11433
-5.891305;48.78172;-3.6553530170088;-9.52252017220512;11442
-5.89274666666667;48.7795166666667;-3.78352673640179;-9.36455728481712;11492
-5.89329833333333;48.7786816666667;-3.78352673640179;-9.36455728481712;11515
-5.89386;48.7778333333333;-3.78352673640179;-9.36455728481712;11536
-5.894075;48.7774683333333;-3.90731128489274;-9.2050485345244;11544
-5.89443;48.7769533333333;-3.94638454679376;-9.29709937101438;11552
-5.89635166666667;48.7743683333333;-3.98545743606454;-9.38914932964252;11616
