"x";"y";"vx";"vy";"t"
-5.24483333333333;49.0845;-14.2009461029582;-6.92626420288009;0
-5.26466666666667;49.0771666666667;-13.7215001326088;-6.99145352280539;209
-5.28666666666667;49.069;-14.5604642357719;-7.1016129124337;455
-5.312;49.0595;-14.4705844882793;-7.05777563052947;732
-5.324;49.0551666666667;-14.5604642357719;-7.1016129124337;870
-5.34233333333333;49.0488333333333;-14.8439284251728;-5.69805026106376;1035
-5.3585;49.0441666666667;-14.8471435876495;-5.40391832978074;1181
-5.37133333333333;49.0405;-15.217360239639;-5.84139730417535;1289
-5.3865;49.036;-14.8471435876495;-5.40391832978074;1431
-5.39833333333333;49.0325;-13.5369161842094;-5.19633526840686;1592
-5.41183333333333;49.0285;-14.9372868239552;-5.73388719272481;1689
-5.42783333333333;49.024;-15.3169890018817;-5.57492807526775;1876
-5.44033333333333;49.0203333333333;-15.0306452227376;-5.76972412438587;1983
-5.4585;49.0148333333333;-15.0203791513671;-6.06862709913993;2140
-5.4715;49.0105;-14.8907902625945;-6.62980697182011;2304
-5.48433333333333;49.0063333333333;-14.0685996992061;-6.26374414820961;2399
-5.498;49.0015;-14.3426635107439;-6.3857652187112;2579
-5.51016666666667;48.9975;-15.0962792454753;-6.40799035817199;2675
-5.52283333333333;48.9931666666667;-13.8858907819226;-6.1823968971733;2796
-5.5365;48.9883333333333;-13.9313077176371;-6.79475277523071;2952
-5.551;48.983;-13.4819106944875;-6.57556720183617;3091
-5.564;48.9783333333333;-12.8910351925581;-6.85428499576319;3221
-5.58316666666667;48.9706666666667;-13.632399990028;-6.94605473260688;3440
-5.59616666666667;48.9656666666667;-13.4541988551364;-6.85525671925079;3573
-5.61583333333333;48.958;-13.2759968705147;-6.76445827293562;3799
-5.63333333333333;48.9511666666667;-13.7215001326088;-6.99145352280539;3971
-5.66266666666667;48.9398333333333;-14.167003394703;-7.21844877267516;4268
-5.67466666666667;48.9351666666667;-14.2563005590903;-7.9023964401349;4434
-5.686;48.9305;-13.731529235268;-7.61151094539739;4559
-5.70316666666667;48.9233333333333;-13.9064530098755;-7.70847277697656;4725
-5.72883333333333;48.9128333333333;-12.6819857535212;-7.02973949357188;5014
-5.80866666666667;48.8798333333333;-10.1033087961872;-11.6225272475318;5851
-5.8675;48.8108333333333;-8.24060919856087;-13.7146768112338;6914
-5.877;48.7993333333333;-7.80000019073487;-13.5099966293997;7089
-5.88533333333333;48.7896666666667;-8.13760168181457;-13.5432435145851;7259
-5.89266666666667;48.7806666666667;-8.14999961853028;-14.1162134209614;7378
-5.89933333333333;48.7728333333333;-7.94999980926514;-13.7698035898101;7520
-5.90616666666667;48.7646666666667;-8.39512022809101;-13.9718263474777;7639
-5.92766666666667;48.7383333333333;-7.08225196912055;-13.8997021172306;8062
-5.943;48.7178333333333;-7.32375655854909;-13.773982785417;8361
-5.95033333333333;48.708;-7.18291500016872;-13.5090983391505;8510
