"x";"y";"vx";"vy";"t"
-4.38391666666667;49.4001;-11.6182587555907;-7.25989381892083;0
-4.49781666666667;49.3573;-11.4486492981118;-7.15391006714827;1383
-4.52893333333333;49.3455833333333;-11.228891966181;-6.74699897779315;1765
-4.53841666666667;49.3420333333333;-11.0704513369159;-7.1892351583167;1881
-4.5594;49.33415;-11.3638441649914;-7.10091793857679;2137
-4.58436666666667;49.3246833333333;-11.2790398406328;-7.04792631537571;2447
-4.59561666666667;49.3204;-11.1094303831539;-6.94194256360314;2592
-4.63795;49.3041833333333;-10.7702106594343;-6.72997455468763;3130
-4.64755;49.3005;-10.4833820993178;-6.80798793768784;3244
-4.65616666666667;49.29715;-10.6854063350756;-6.67698293148654;3357
-4.66781666666667;49.29255;-10.9398201169132;-6.83595830646019;3505
-4.67803333333333;49.2886;-11.228891966181;-6.74699897779315;3629
-4.70873333333333;49.2768333333333;-10.515796068835;-6.57099867434359;4040
-4.7181;49.2732833333333;-10.9027173832905;-7.08030745519535;4154
-4.77958333333333;49.2502833333333;-10.9398201169132;-6.83595830646019;4935
-4.7944;49.2448333333333;-10.8860245554251;-6.54098345312198;5124
-4.80438333333333;49.2411666666667;-10.4309917444764;-6.5180070511425;5251
-4.81678333333333;49.2365833333333;-10.2613822869974;-6.41202329936994;5397
-4.83106666666667;49.2312833333333;-10.0917720207568;-6.30603904222698;5603
-4.8425;49.22705;-10.0917720207568;-6.30603904222698;5747
-4.85301666666667;49.22315;-10.4833820993178;-6.80798793768784;5910
-4.87905;49.2131666666667;-10.1479141920671;-6.59013253144513;6225
-5.30315;49.0484833333333;-8.35535069550686;-5.85047954137965;12257
-5.32561666666667;49.03965;-9.22537624739966;-5.9910293851653;12612
-5.36051666666667;49.0255333333333;-9.32852905772068;-5.82911190656526;13176
-5.38803333333333;49.0149166666667;-9.08597371442576;-5.45940379051801;13573
-5.4033;49.0092833333333;-9.51455736477682;-5.71692282797304;13801
-5.42611666666667;49.0010333333333;-9.51455736477682;-5.71692282797304;14149
-5.44168333333333;48.9954166666667;-9.17168995402091;-5.51090730330187;14376
-5.45371666666667;48.9910333333333;-9.2574070110745;-5.56241130726431;14552
-5.48423333333333;48.98;-9.4396765708879;-5.44999980926514;15031
-5.4934;48.9766666666667;-8.82882336072344;-5.30489226980928;15157
-5.50323333333333;48.9732166666667;-9.2574070110745;-5.56241130726431;15314
-5.52285;48.966;-9.51455736477682;-5.71692282797304;15600
-5.53961666666667;48.9597333333333;-8.92006182416095;-5.15000009536744;15857
-5.565;48.9496333333333;-8.81969987652215;-5.51116014587718;16271
-5.59215;48.9389;-8.80604096342695;-5.71870986765778;16700
-5.61018333333333;48.9318166666667;-8.98931014276279;-5.61714440302013;16997
-5.62038333333333;48.9277333333333;-9.15891960024174;-5.72312815479269;17138
-5.632;48.9231166666667;-8.90450500964247;-5.56415227444865;17350
-5.64138333333333;48.9193;-8.56528609468458;-5.35218477090353;17469
-5.66416666666667;48.9101333333333;-9.49813851519963;-5.93509565833782;17863
-5.67543333333333;48.9056;-9.15891960024174;-5.72312815479269;18029
-5.68561666666667;48.90155;-8.98931014276279;-5.61714440302013;18176
-5.69538333333333;48.89765;-9.24372392460037;-5.77611977799378;18320
-5.7044;48.8939833333333;-8.98931014276279;-5.61714440302013;18475
-5.71346666666667;48.8903333333333;-9.15891960024174;-5.72312815479269;18600
-5.7213;48.8872333333333;-8.98931014276279;-5.61714440302013;18737
-5.72911666666667;48.8840666666667;-9.413334190841;-5.88210403513673;18841
-5.73821666666667;48.8804166666667;-9.58294364831995;-5.9880877869093;18991
-5.75218333333333;48.87465;-8.73489555216353;-5.45816852267609;19208
-5.76498333333333;48.8663166666667;-5.45940379051801;-9.08597371442577;19450
-5.77363333333333;48.85705;-6.31887991587702;-9.36812472799834;19689
-5.77845;48.8517833333333;-6.43071838991359;-9.53393208438298;19813
-5.79378333333333;48.8345833333333;-6.15442119955146;-9.47697757774701;20204
-5.79966666666667;48.82785;-5.82911190656525;-9.32852905772069;20329
-5.80828333333333;48.8178166666667;-5.77611977799378;-9.24372392460037;20574
-5.8142;48.81095;-5.71692282797303;-9.51455736477682;20696
-5.81925;48.8050333333333;-6.14706366725333;-9.83735823891922;20843
-5.828;48.795;-6.09407153868186;-9.7525531057989;21063
-5.83993333333333;48.78105;-5.97444186542806;-9.94314101512788;21385
-5.86196666666667;48.7539333333333;-5.80000019073486;-10.045895014262;21928
-5.86745;48.7472666666667;-6.02594537821192;-10.028857254723;22069
-5.87411666666667;48.7392;-6.18045689892065;-10.2860076084253;22258
-5.88903333333333;48.72105;-6.12895289495821;-10.2002905513718;22615
-5.89571666666667;48.71285;-6.2530474190259;-10.0069676963982;22778
-5.91235;48.6924666666667;-6.18045689892065;-10.2860076084253;23228
-5.91775;48.6858166666667;-6.20005529045442;-9.92216256327785;23349
-5.92366666666667;48.6785833333333;-6.07744938217436;-10.1145743117766;23497
-5.93341666666667;48.6664333333333;-6.18045689892065;-10.2860076084253;23759
-5.9387;48.6600833333333;-6.5180070511425;-10.4309917444764;23866
-5.94805;48.6486333333333;-6.43797593637568;-10.7145912587764;24099
-5.95386666666667;48.6415166666667;-6.19999980926514;-10.7387146765646;24279
-5.97471666666667;48.6162333333333;-6.43797593637568;-10.7145912587764;24743
-5.98188333333333;48.6076833333333;-6.33496841962938;-10.5431579621277;24936
-5.98901666666667;48.5989666666667;-6.43797593637568;-10.7145912587764;25115
-6.01343333333333;48.5699666666667;-6.05000019073487;-10.4789077161542;25657
-6.02248333333333;48.5592333333333;-6.33496841962938;-10.5431579621277;25860
-6.02845;48.5522166666667;-6.25;-10.8253175473055;26023
-6.03441666666667;48.5450666666667;-7.04583079704657;-10.4458737304463;26137
-6.04846666666667;48.5307833333333;-6.75953040136344;-9.3036954353119;26485
-6.05561666666667;48.5232666666667;-6.53877115559988;-9.3383329924128;26631
-6.06891666666667;48.5088166666667;-6.43071838991359;-9.53393208438298;26957
-6.08275;48.4921333333333;-5.6237917797977;-10.1455889364579;27314
