"x";"y";"vx";"vy";"t"
-4.33653333333333;49.467895;-11.1543187136379;-7.24369926958151;0
-4.346505;49.4641683333333;-11.4860415024249;-6.9015100073233;121
-4.35733833333333;49.460075;-11.2381852905412;-7.29816286143806;252
-4.35881333333333;49.4595166666667;-11.0261998731084;-7.43726572281852;268
-4.380205;49.4515566666667;-11.1543187136379;-7.24369926958151;528
-4.384445;49.4499316666667;-11.1543187136379;-7.24369926958151;580
-4.38602166666667;49.4493533333333;-11.3638441649914;-7.10091793857679;601
-4.3901;49.4477783333333;-11.3638441649914;-7.10091793857679;648
-4.408885;49.4406283333333;-11.2790398406328;-7.04792631537571;879
-4.458315;49.4214966666667;-11.2790398406328;-7.04792631537571;1490
-4.46327333333333;49.41953;-11.0704513369159;-7.1892351583167;1549
-4.46641166666667;49.4182866666667;-11.0704513369159;-7.1892351583167;1590
-4.471275;49.4163566666667;-11.1094303831539;-6.94194256360314;1649
-4.473685;49.415415;-11.1942347075125;-6.99493418680423;1680
-4.481525;49.4123583333333;-11.1942347075125;-6.99493418680423;1779
-4.49109166666667;49.4086866666667;-10.9398201169132;-6.83595830646019;1899
-4.49277166666667;49.4080566666667;-11.0246252500335;-6.88895043503167;1920
-4.49355666666667;49.407755;-10.9398201169132;-6.83595830646019;1929
-4.497495;49.4062616666667;-10.8188500065685;-7.02584334393054;1981
-4.50692166666667;49.4026266666667;-10.9398201169132;-6.83595830646019;2101
-4.50850666666667;49.4020416666667;-10.9398201169132;-6.83595830646019;2120
-4.510065;49.4014416666667;-10.5287770133227;-7.10174976742091;2139
-4.524945;49.39581;-10.5672494760398;-6.86245204895264;2330
-4.53116833333333;49.3934433333333;-10.6854063350756;-6.67698293148654;2410
-4.53273;49.3928566666667;-10.6511160529432;-6.91691564080919;2432
-4.53350666666667;49.3925616666667;-10.6854063350756;-6.67698293148654;2441
-4.53429666666667;49.3922666666667;-10.6854063350756;-6.67698293148654;2452
-4.53740333333333;49.3910733333333;-10.6854063350756;-6.67698293148654;2491
-4.53817666666667;49.3907883333333;-10.5672494760398;-6.86245204895264;2500
-4.54052166666667;49.3899166666667;-10.7702106594343;-6.72997455468763;2530
-4.54215333333333;49.3892966666667;-10.7702106594343;-6.72997455468763;2550
-4.544505;49.388425;-10.5672494760398;-6.86245204895264;2582
-4.54511333333333;49.3881866666667;-10.4833820993178;-6.80798793768784;2591
-4.54596;49.3878616666667;-10.9119204180464;-6.30000019073487;2600
-4.54901;49.386735;-10.6854063350756;-6.67698293148654;2638
-4.55374333333333;49.3849316666667;-10.5672494760398;-6.86245204895264;2698
-4.55444;49.3846633333333;-10.5672494760398;-6.86245204895264;2711
-4.55692666666667;49.3837066666667;-10.4458737304463;-7.04583079704658;2741
-4.557625;49.3834316666667;-10.6511160529432;-6.91691564080919;2752
-4.558315;49.383165;-10.4833820993178;-6.80798793768784;2757
